번호,원본_제목,링크,타입,수집시간,카테고리,뉴스_제목,뉴스_내용,기자명,언론사,발행일자,크롤링_상태
11,PC 게임 포털도 뚫렸다…611만명 정보 유출,https://n.news.naver.com/mnews/article/215/0001232563,headline,20251128,IT/과학,PC 게임 포털도 뚫렸다…611만명 정보 유출,"넷마블 PC 게임 포털사이트에서 총 611만명분에 달하는 고객 및 임직원 정보가 해킹으로 유출된 것으로 나타났다. 넷마블은 27일 정보유출 건에 대한 자체 조사 결과를 공개했다. 넷마블에 따르면 현재까지 바둑·장기 등 PC 게임 포털 사이트에서 유출된 회원 정보는 휴면계정을 포함해 총 611만명으로 집계됐다. 유출된 정보는 이름과 생년월일, 암호화된 비밀번호 등으로 주민등록번호 등과 같은 고유식별정보나 민감정보 유출은 없는 것으로 확인됐다. 또 휴면 처리된 채로 남아 있던 ID와 암호화된 비밀번호 3,100만여개도 유출된 것으로 파악됐다. 이는 이름과 생년월일 등의 개인정보가 이미 삭제돼 개인을 식별할 수 있는 정보는 아니다. 해당 ID들은 PC 포털 사이트에서 회원 1인당 5개까지 중복해 생성된 것으로 보인다고 넷마블은 설명했다. 또 2015년 이전 PC방 가맹점 약 6만6,000여곳의 사업주 이름, ID·이메일 정보를 비롯해 전현직 임직원의 이름, 생년월일, 회사 이메일주소 등이",이휘경 기자 ddehg@wowtv.co.kr,한국경제TV,2025-11-27 18:06:24,success
12,디지털크리에이터미디어 산업 매출 5조5천억…4만3천여명 종사,https://n.news.naver.com/mnews/article/001/0015767869,headline,20251128,IT/과학,디지털크리에이터미디어 산업 매출 5조5천억…4만3천여명 종사,"방미통위·전파진흥협회 '2025 산업 실태조사' 발표 전체 사업체 수 줄었지만, 광고·마케팅·커머스 업체 수 3배 규모로 확대 2025년 디지털크리에이터미디어산업 실태조사 결과 인포그래픽 [방송미디어통신위원회 제공. 재판매 및 DB 금지] (과천=연합뉴스) 나확진 기자 = 디지털크리에이터가 콘텐츠를 제작·유통해 수익을 창출하는 '디지털크리에이터미디어 산업' 매출이 지난해 5조5천억원을 넘어 계속 성장하는 것으로 나타났다. 방송미디어통신위원회와 한국전파진흥협회는 지난 한 해 동안 국내 디지털크리에이터미디어 산업 현황을 살펴볼 수 있는 '2025년 디지털크리에이터미디어 산업 실태조사' 결과를 28일 발표했다. 디지털크리에이터미디어 산업은 온라인 비디오 플랫폼을 기반으로 콘텐츠를 만들고 공유하는 데 필요한 다양한 활동을 포괄하는 산업을 말한다. 관련 산업에 대한 경영활동을 하는 사업체 1천개를 표본 조사해 매출 및 경영, 인력, 사업 등의 현황을 파악한 국가승인 통계다. 전체 사업체 수는",나확진 기자,연합뉴스,2025-11-28 13:58:20,success
13,"네이버, 서울대병원과 의료 특화 LLM 공개...“의료 소버린 AI 실현”",https://n.news.naver.com/mnews/article/009/0005597892,headline,20251128,IT/과학,"네이버, 서울대병원과 의료 특화 LLM 공개...“의료 소버린 AI 실현”","한국 의료법·진료 가이드라인 학습한 모델 의사국가고시 96.4점...의료진 업무보조 기대 김영태 서울대학교병원장(왼쪽)과 이해진 네이버 이사회 의장이 서울 종로구 서울대병원에서 열린 ‘메디컬 AGI 행사’에서 기념촬영을 하고 있다. [사진 = 네이버] 네이버가 서울대병원과 협력해 개발한 의료 특화 거대언어모델(LLM) ‘Kmed.ai’을 공개했다. 네이버는 28일 서울 종로구에 위치한 서울대병원에서 열린 ‘메디컬 AGI(범용의료인공지능) 행사’에서 한국어 기반 의료 특화 LLM ‘Kmed.ai’를 발표했다고 밝혔다. 이날 행사에는 네이버 이해진 이사회 의장과 최수연 대표, 배경훈 부총리 겸 과학기술정통부 장관, 이형훈 보건복지부 제2차관, 김영태 서울대병원장 등이 참석했다. ‘Kmed.ai’는 서울대 의학지식 문답 세트인 ‘SNUH ClinicalQA’를 비롯해 대한민국 의료법, 각종 진료과 가이드라인 등을 학습한 모델로, 향후 의료진 판단을 효과적으로 보조할 수 있을 것으로 기대된",안선제 기자,매일경제,2025-11-28 15:06:12,success
14,"넥슨, 시가총액 29조 돌파...""IP 성장 전략 성공""",https://n.news.naver.com/mnews/article/014/0005441516,headline,20251128,IT/과학,"넥슨, 시가총액 29조 돌파...""IP 성장 전략 성공""","넥슨 사옥. 연합뉴스 [파이낸셜뉴스] 넥슨은 기존 프랜차이즈 성장과 글로벌 신작의 연이은 흥행에 힘입어 시가총액 3조1000억엔(약 29조1000억원)을 돌파했다고 28일 밝혔다. 도쿄증권거래소에 상장된 넥슨 일본법인의 전일 종가는 3768엔으로, 이달 11일 3분기 실적발표 후 강세를 보이며 2021년 4월 이후 약 4년 7개월 만에 신고가를 넘어섰다. 이정헌 넥슨 일본법인 대표는 지난해 9월 도쿄에서 열린 자본시장 브리핑(CMB) 행사에서 기존 주요 지식재산권(IP)를 확장하는 '종적 성장'과 신규 IP를 발굴하는 '횡적 성장'을 양대 축으로 2027년까지 매출 7500억 엔을 달성하겠다고 밝힌 바 있다. 넥슨은 지난해 CMB 발표 직전과 비교해 기업가치가 전날 종가 기준 30.4% 상승했다고 설명했다. '종적 성장' 측면에서는 '메이플스토리', '던전앤파이터', 'FC' 프랜차이즈가 견고한 성장세를 냈고 인기작 '데이브 더 다이버', 서브컬처 게임 '블루 아카이브' 등이 힘을 ",주원규 기자,파이낸셜뉴스,2025-11-28 15:32:19,success
15,3G·LTE 재할당에 5G 설비투자 의무 부여 '적법' 결론,https://n.news.naver.com/mnews/article/277/0005686177,headline,20251128,IT/과학,3G·LTE 재할당에 5G 설비투자 의무 부여 '적법' 결론,"정부 법률자문 ""재량 따라 적정 수준 부과 가능"" 이해민 의원 ""취약지역 등 5G 투자 의무화해야"" 정부가 3G·LTE 주파수 재할당 조건으로 취약지역 등에 5G 설비투자 의무를 부여하는 것은 적법한 재량권 행사라는 법적 해석이 나왔다. 픽사베이 국회 과학기술정보방송통신위원회 소속 이해민 조국혁신당 의원은 28일 과학기술정보통신부가 제출한 법률 자문 결과를 근거로 ""3G·LTE 주파수 재할당에서 실내 및 취약지역을 중심으로 5G 설비 투자 의무를 반드시 포함해야 한다""고 밝혔다. 이 의원은 지난달 국정감사에서 통신사의 5G 설비투자 부진과 품질 저하 문제를 제기했다. 이 같은 상황이 지속되면 향후 3~5년간 품질 저하로 인한 이용자 피해는 물론이고, 전후방 산업 생태계까지 무너져 6G 경쟁력 확보에도 심각한 차질이 생길 것이라고 지적했다. 과기정통부는 최근 외부 법률 자문에서 ""주파수 재할당은 '재량 행위, 수익적 행정 행위'로 규정돼 조건·부담 부과가 가능하다""는 해석을 받은 것으",노경조 기자,아시아경제,2025-11-28 10:56:44,success
16,[속보] 홍콩 당국 “화재참사 진화작업 종료”…사망자 94명,https://n.news.naver.com/mnews/article/081/0003596403,headline,20251128,세계,[속보] 홍콩 당국 “화재참사 진화작업 종료”…사망자 94명,"홍콩 타이포의 왕푹코트 주택단지에서 발생한 대형 화재로 27일 불길과 짙은 연기가 치솟고 있다. 홍콩 로이터 연합뉴스 94명이 숨지고 수백명이 실종된 홍콩 고층 아파트 화재의 진화 작업이 종료됐다고 홍콩 당국이 밝혔다. 28일 AFP통신 등에 따르면 지난 26일 발생한 타이포 지역의 31층짜리 아파트 단지 ‘웡 푹 코트’(Wang Fuk Court) 화재의 진압 작전이 이날 오전 10시 18분 종료됐다고 홍콩 당국은 밝혔다. 화재가 발생한 지 43시간만이다. 해당 아파트는 2000여 세대 8개 동으로, 대규모 보수공사 과정에서 7개 동에서 화재가 발생했다. 현재까지 확인된 사망자는 소방관 1명을 포함한 94명이며 이보다 증가할 수 있다고 정부 관계자는 설명했다. 부상자는 76명으로 집계됐으며, 200여명이 실종된 것으로 알려졌으나 현재 정확한 집계가 진행 중이다.",김소라 기자,서울신문,2025-11-28 13:57:11,success
17,"美 ""제3세계 이민 영구 중단…불법 이민 수백만명 추방할 것""",https://n.news.naver.com/mnews/article/119/0003030985,headline,20251128,세계,"美 ""제3세계 이민 영구 중단…불법 이민 수백만명 추방할 것""","도널드 트럼프 미국 대통령이 25일(현지시간) 미 워싱턴DC 백악관 로즈가든에서 열린 칠면조 사면식에서 연설을 하고 있다. ⓒ AFP/연합뉴스 [데일리안 = 정인균 기자] 도널드 트럼프 미국 대통령이 제3세계 국가 출신 이민자 수용을 영구 중단한다고 밝혔다. 로이터통신에 따르면 트럼프 대통령은 27일(현지시간) 소셜미디어(SNS) 트루스소셜을 통해 “미국 체제가 완전히 회복할 때까지 제3세계 출신 이민자들의 이주를 중단하고 불법 이민자 수백만 명을 추방할 것”이라며 “미국에 있는 5300만 명의 이민자 중 대부분은 실패한 국가 출신이다. 그들의 생계를 위해 미국 시민의 세금이 쓰이고 있다”고 말했다. 그러면서 “영주권을 소유한 이민자가 연간 3만 달러(약 4400만원)를 벌면 가족들은 각종 복지 혜택으로 5만 달러의 혜택을 받는다”며 “이들은 대부분 실패한 국가의 교소도, 정신병원, 갱단 출신이다”고 덧붙였다. 다만 그는 제3세계가 어느 나라인지 구체적으로 설명하지 않았다. 전날 백",정인균 기자,데일리안,2025-11-28 15:33:11,success
18,10년 사귄 여친과 내달 결혼하는데…'홍콩 아파트 화재' 순직 소방관에 애도 물결,https://n.news.naver.com/mnews/article/277/0005685755,headline,20251128,세계,10년 사귄 여친과 내달 결혼하는데…'홍콩 아파트 화재' 순직 소방관에 애도 물결,"홍콩 소방청, 공식사이트·SNS 흑백 전환 ""홍콩 모든 소방관이 상실감 느껴"" ""다음 생에 다시 만나…절대 잊지 못할 거야"" 홍콩 북부 타이포 구역의 '웡 푹 코트' 아파트 화재 현장에서 구조 활동을 벌이다 순직한 소방관을 향한 애도 물결이 이어지고 있다. 27일 중국 신문망 등 다수 언론에 따르면 순직한 소방관은 허웨이하오씨(37)로 9년 차 베테랑 소방관이다. 고인은 화재 현장에 도착하자마자 지상부터 구조 작업을 시작했지만 30분 뒤부터 동료들과 연락이 두절됐다. 홍콩 아파트 화재 현장에서 순직한 소방관 애도를 위해 홍콩 소방청은 공식사이트와 SNS 계정을 흑백으로 전환했다. 홍콩소방청 공식사이트. 수색 끝에 아파트 건물 밖 공터에서 발견됐지만, 고인은 이미 얼굴에 심한 화상을 입고 의식을 잃은 상태였다. 병원으로 이송됐지만, 오후 4시 45분에 끝내 숨을 거뒀다. 고인과 함께 일한 소방관 양은지엔씨는 사회관계망서비스(SNS)에 ""용기 있고 성실한 동료""라고 고인을 회상했다. 이",김진선 기자,아시아경제,2025-11-27 15:54:05,success
19,백악관 총격사건에 격분한 트럼프 ‘우려국’ 영주권 전면 재조사 지시,https://n.news.naver.com/mnews/article/016/0002564552,headline,20251128,세계,백악관 총격사건에 격분한 트럼프 ‘우려국’ 영주권 전면 재조사 지시,"美 이민국, 19개국 특정…아프간 등 대상 도널드 트럼프 미국 행정부가 반(反)이민 정책의 고삐를 죈다. 미 최대 명절인 추수감사절 전날 워싱턴DC 한복판에서 주방위군 겨냥 총격 사건이 발생하면서다. 총격 받은 주방위군 병사 2명 중 1명이 사망하는 등 사태가 악화하자 ‘미국 내 영주권 재조사’에도 속도가 붙을 전망이다. 조세프 에들로 미 이민국(USCIS) 국장은 27일(현지시간) 자신의 엑스(X·옛 트위터)에 “대통령의 지시에 따라 나는 모든 ‘우려 국가’(country of concern) 출신 모든 외국인의 모든 그린카드(영주권)에 대한 전면적이고 철저한 재조사를 지시했다”고 적었다. 트럼프 대통령은 이날 아프가니스탄 출신 이민자로부터 전날 워싱턴DC의 백악관 인근에서 총격을 당한 주방위군 병사 2명 중 1명이 사망했다고 밝혔다. 트럼프 대통령은 플로리다주 팜비치의 자택인 마러라고 리조트에서 진행한 미군 장병들과의 화상 통화에서 “불행하게도 방금 전 주방위군 병사 중 1명인 ",김지헌 기자,헤럴드경제,2025-11-28 11:20:18,success
20,"파리 루브르박물관, 내년부터 비EU 관광객만 입장료 45% 인상",https://n.news.naver.com/mnews/article/421/0008630601,headline,20251128,세계,"파리 루브르박물관, 내년부터 비EU 관광객만 입장료 45% 인상","22유로 → 32유로 27일(현지시간) 프랑스 파리 루브르 박물관 유리 피라미드 인근에 프랑스 CRS(공화국보안대) 폭동 진압 경찰들이 서 있다. 2025.10.27. ⓒ 로이터=뉴스 (서울=뉴스1) 신기림 기자 = 프랑스 파리 루브르 박물관이 비(非) 유럽연합(EU) 국적자의 경우 입장료를 45% 인상한다고 27일(현지시간) 밝혔다. AFP 통신에 따르면 내년 1월 14일부터 비EU 국적자의 루브르 박물관 입장료는 기존 22유로에서 32유로로 인상된다. EU 지역 방문객들의 입장료는 그대로 22유로다. 박물관 측은 비EU 외국인 입장료 인상이 박물관의 자금 개선에 기여해 연간 최대 2300만 달러 수익 목표 달성에 도움을 줄 것이라고 밝혔다. 하지만 프랑스 민주노동총연맹은 모든 국적에 균일하게 적용되던 입장료가 폐지되면 ""차별""로 인식될 것이라며 경고했다. 박물관의 2024년 보고서에 따르면 지난해 전체 방문객은 870만 명으로 이 중 69%가 외국인이었다. 미국인이 가장 많았고 ",신기림 기자,뉴스1,2025-11-28 10:04:49,success
